"-------------------------------------------------------------------------------------------"
"   Atmospheric Delta-14C (permil) derived from flask air samples                           "
"   For Mauna Loa Observatory, Hawaii: Latitude 19.5°N Longitude 155.6°W Elevation 3397m    "
"                                                                                           "
"   Source: H. D. Graven, R. F. Keeling, A. F. Bollenbacher                                 "
"   Scripps CO2 Program ( http://scrippsco2.ucsd.edu )                                      "
"   Scripps Institution of Oceanography (SIO)                                               "
"   University of California                                                                "
"   La Jolla, California USA 92093-0244                                                     "
"   and                                                                                     "
"   T. P. Guilderson                                                                        "
"   Center for Accelerator Mass Spectrometry (CAMS)                                         "
"   Lawrence Livermore National Laboratory (LLNL)                                           "
"   Livermore, California USA  94550                                                        "
"                                                                                           "
"   Status of data and correspondence:                                                      "
"                                                                                           "
"   These data are subject to revision based on recalibration of standard gases. Questions  "
"   about the data should be directed to Dr. Heather Graven (hgraven@ucsd.edu)              "
"   and Dr. Ralph Keeling (rkeeling@ucsd.edu), Scripps CO2 Program.                         "
"                                                                                           "
"   Flask data in this file last updated 23-Apr-2010                                        "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
"   Please cite as:                                                                         "
"   H. D. Graven, T. P. Guilderson and R. F. Keeling, Observations of radiocarbon           "
"   in CO2 at seven global sampling sites in the Scripps flask network: Analysis of         "
"   spatial gradients and seasonal cycles. Journal of Geophysical Research,                 "
"   doi:10.1029/2011JD016535, in press.                                                     "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
"   Reported are age- and d13C-corrected ratios, in reference to the Modern Standard,       "
"   defined as "Delta" in M. Stuiver and H.A. Polach, 1977. Discussion: Reporting of        "
"   14C Data, Radiocarbon 19(3), 355-363.                                                   "
"                                                                                           "
"   Flagged data have been removed                                                          "
"   Starred d13C data were estimated for sample dates without d13C observations             "
"                                                                                           "
" SIO  ,  LLNL ,  Sample  , Decimal ,  CO2  ,  d13C  ,  D14C  , D14C Uncertainty            "
"  ID  ,   ID  ,    Date  ,   Date  , (ppm) ,(permil),(permil),  (permil)                   "
M01-024, 124190, 22-Aug-01, 2001.638, 369.10,  -7.937,    85.9,    1.7
M01-027, 104521, 12-Sep-01, 2001.696, 368.87,  -7.935,    81.9,    2.2
M01-040, 131518, 26-Sep-01, 2001.734, 367.50,  -7.887,    85.2,    1.7
M01-043, 104522, 17-Oct-01, 2001.792, 367.99,  -7.893,    79.6,    2.2
M01-058, 124362, 07-Nov-01, 2001.849, 368.83,  -7.959,    86.0,    1.7
M01-059, 104523, 14-Nov-01, 2001.868, 369.63,  -7.990,    78.9,    2.2
M01-083, 104525, 16-Jan-02, 2002.041, 372.29,  -8.090,    79.3,    2.2
M01-108, 104526, 13-Feb-02, 2002.118, 372.61,  -8.094,    79.1,    2.2
M01-110, 124349, 01-Mar-02, 2002.162, 372.70,  -8.132,    80.0,    1.7
M01-118, 104527, 13-Mar-02, 2002.195, 373.81,  -8.174,    77.4,    2.2
M01-122, 104528, 10-Apr-02, 2002.271, 373.87,  -8.137,    77.1,    2.2
M01-144, 124352, 24-Apr-02, 2002.310, 375.33,  -8.231,    78.7,    1.7
M01-146, 104529, 08-May-02, 2002.348, 374.05,  -8.103,    73.1,    2.2
M01-154, 124353, 29-May-02, 2002.405, 375.83,  -8.252,    78.0,    1.7
M01-183, 124355, 07-Aug-02, 2002.597, 371.07,  -7.985,    74.0,    1.7
M01-185, 104532, 21-Aug-02, 2002.636, 371.52,  -8.023,    77.8,    2.2
M01-200, 124359, 04-Sep-02, 2002.674, 369.12,  -7.904,    78.6,    1.7
M01-202, 117800, 18-Sep-02, 2002.712, 369.60,  -7.926,    76.0,    1.7
M01-206, 117759, 16-Oct-02, 2002.789, 371.49,  -7.982,    73.6,    2.7
M01-231, 117747, 13-Nov-02, 2002.866, 371.67,  -8.000,    75.5,    2.7
M01-251, 117809, 18-Dec-02, 2002.962, 373.37,  -8.071,    75.6,    1.7
M01-265, 117799, 15-Jan-03, 2003.038, 373.62,  -8.085,    76.9,    1.7
M01-304, 117784, 19-Mar-03, 2003.211, 376.15,  -8.236,    72.4,    1.7
M01-317, 117746, 16-Apr-03, 2003.288, 378.42,  -8.344,    71.7,    2.8
M01-321, 117773, 14-May-03, 2003.364, 377.26,  -8.242,    72.3,    2.7
M01-337, 124360, 28-May-03, 2003.403, 378.97,  -8.316,    72.1,    1.7
M01-338, 131566, 04-Jun-03, 2003.422, 378.24,  -8.264,    73.3,    1.7
M01-348, 117770, 16-Jul-03, 2003.537, 375.74,  -8.221,    71.7,    2.7
M01-351, 117755, 13-Aug-03, 2003.614, 374.56,  -8.062,    73.6,    3.0
M01-371, 126913, 10-Sep-03, 2003.690, 372.32,  -8.042,    73.7,    1.7
M01-390, 124363, 01-Oct-03, 2003.748, 372.97,  -8.033,    72.5,    1.7
M01-394, 124342, 29-Oct-03, 2003.825, 373.17,  -8.017,    70.5,    1.7
M01-410, 126905, 07-Jan-04, 2004.016, 375.80,  -8.107,    70.9,    1.7
M01-448, 124204, 04-Feb-04, 2004.093, 377.46,  -8.197,    69.6,    1.7
M01-451, 126971, 01-Mar-04, 2004.164, 377.57,  -8.214,    72.8,    1.7
M01-471, 124344, 24-Mar-04, 2004.227, 378.24,  -8.241,    68.0,    1.7
M01-486, 124188, 28-Apr-04, 2004.322, 380.04,  -8.355,    67.9,    1.7
M01-488, 124191, 12-May-04, 2004.361, 379.77,  -8.457,    67.2,    1.7
M01-505, 124194, 16-Jun-04, 2004.456, 379.24,  -8.304,    66.2,    1.7
M01-522, 126950, 14-Jul-04, 2004.533, 375.79,  -8.140,    64.7,    1.7
M01-527, 124343, 18-Aug-04, 2004.628, 375.03,  -8.079,    68.3,    1.7
M01-535, 128107, 15-Sep-04, 2004.705, 374.05,  -7.985,    68.0,    1.7
M01-552, 126918, 13-Oct-04, 2004.781, 373.94,  -8.034,    62.9,    1.7
M01-571, 124346, 17-Nov-04, 2004.877, 376.44,  -8.090,    66.7,    1.7
M01-572, 124347, 24-Nov-04, 2004.896, 376.23,  -8.131,    65.8,    1.7
M01-590, 124348, 08-Dec-04, 2004.934, 377.24,  -8.138,    64.8,    1.7
M01-595, 128090, 12-Jan-05, 2005.030, 378.66,  -8.247,    61.6,    1.7
M01-618, 128103, 16-Feb-05, 2005.126, 379.95,  -8.288,    62.3,    1.7
M01-630, 128148, 16-Mar-05, 2005.203, 381.75,  -8.318,    64.0,    1.7
M01-634, 128098, 13-Apr-05, 2005.279, 381.44,  -8.696,    61.2,    1.7
M01-654, 128082, 11-May-05, 2005.356, 381.99,  -8.282,    62.2,    1.7
M01-674, 128140, 13-Jul-05, 2005.529, 381.36,  -8.263,    62.3,    1.7
